idDocumentSentence,idSentence,startTime,endTime,objects,cosine
117183,217326,41.807,51.56,"9688,9780,9781,18614,18878,18617,18882,18616,18884",0.480328
117224,217680,66.599,78.959,"19184,19185,19186,19176,19276,19177,19182,19183",0.293983
117225,217681,81.28,85.439,19278,0.339399
117226,217682,86,94.4,"19278,19277,19279,19280,19281,19289,19282,19283,19284,19285,19288,19286,19287",0.428778
117228,217684,96.76,103.56,"19296,19297,19290,19298,19291,19299,19292,19300,19293,19301,19294,19302,19295",0.411722
117229,217685,104.236,108.92,"19296,19297,19290,19298,19291,19299,19292,19300,19293,19301,19294,19302,19295",0.412949
117230,217686,109.48,114.68,"19296,19297,19290,19298,19291,19299,19292,19300,19293,19301,19294,19302,19295",0.430593
117231,217687,115.28,123.2,"19296,19297,19290,19298,19291,19299,19292,19300,19293,19301,19294,19302,19295,19303,19305,19348,19306,19489,19354,19356",0.316862
117233,217689,128.199,135.879,"19306,19489,19354,19356,19365,19495,19357,19361",0.541647
117234,217690,136.439,139.759,"19365,19495,19357,19361,19363,9602,9603,9506,9604,9507,9508,9509,9510,9511,9601",0.365302
117236,217692,142.639,145.759,"9602,9603,9506,9604,9507,9508,9509,9510,9511,9601,9512,9513,9514,9515,9516,9549,9550",0.49225
117237,217693,146.24,149.56,"9602,9603,9506,9604,9507,9508,9509,9510,9511,9601,9512,9513,9514,9515,9516,9549,9550,9517,9518,9519",0.562963
117238,217694,149.879,153.28,"9517,9518,9519",0.481652
117240,217696,155.52,161.479,"9520,9521,9536,9537,9535,9543,9522,9531,9532,9533,9534,9542",0.362212
117241,217697,162.199,168.759,"9520,9521,9536,9537,9535,9543,9522,9531,9532,9533,9534,9542,9538,9539,9540,9541,9544,9545,9546",0.544607
117244,217700,171.919,174.24,"9523,9605",0.095788
117245,217701,174.479,178.639,"9523,9605,9547,9548,9606,9607,9608,9609",0.440912
117246,217702,178.879,186.8,"9606,9607,9608,9609,19802,19496,19807,19497,19498,19803,9312",0.487609
117248,217704,189.28,193.479,"9502,9565,9504,9313,9499,9501,9500",0.501189
117249,217705,193.719,195.24,"9502,9565,9504,9313,9499,9501,9500",0.232682
117250,217706,195.439,197.96,"9502,9565,9504,9313,9499,9501,9500,9314,9315",0.149108
117251,217707,198.4,200.719,"9314,9315,9593,9595,9596,9598",0.203686
117252,217708,201.439,203.719,"9314,9315,9593,9595,9596,9598",0
117254,217710,204.439,212.879,"9314,9315,9593,9595,9596,9598,9316,9317",0.036863
117255,217711,213.46,216.8,"9316,9317,19810,9320,9321",0.449564
117256,217712,217.28,221.355,"19810,9320,9321,9318,9319,9329,9330,9326,9327,9328,9322,9323,9580,9324,9583,9325",0.597314
117257,217713,221.4,229,"9329,9330,9326,9327,9328,9322,9323,9580,9324,9583,9325,9587,9588,9574,9591,9577,9579,9585",0.277575
117258,217714,229.36,238.8,"9329,9330,9326,9327,9328,9322,9323,9580,9324,9583,9325,9587,9588,9574,9591,9577,9579,9585",0.466348
117259,217715,238.56,243.56,"9326,9327,9328,9322,9323,9580,9324,9583,9325,9587,9588,9574,9591,9577,9579,9585",0.205522
117261,217717,245.4,249.599,9569,0.217654
117262,217718,249.8,258.519,9569,0.157725
Total,31,,,M̩dia,0.35434793548387
