"Document Name","Start Time",idDocumentSentence1,idDocumentSentence2,"Total Time DS1 (seconds)","Total Time DS2 (seconds)","Time Difference (seconds)","Sentence Text"
Reporter_Brasil_02_13,0,3118633,5229456,0,1900,-1900,"Nos abrigos há uma preocupação muito grande com, não só de receber as pessoas mas como também fazer um trabalho de apoio emocional pra quem, obviamente, perdeu tudo e ainda tem uma preocupação muito grande com o que vem, com o futuro, né, com o que vem aí."
Reporter_Brasil_02_13,14.56,3118635,5229457,0,687,-687,"Eu fui conhecer um trabalho de saúde mental em um dos abrigos, vamos ver como é que foi."
Reporter_Brasil_02_13,20.88,3118637,5229458,2220,596,1624,"Adriano é um dos duzentos desalojados que estão neste abrigo na região metropolitana de Porto Alegre."
Reporter_Brasil_02_13,27.9,5229251,5229467,305,623,-318,"Deficiente visual, ele tem conversado bastante com a psicóloga e confessa que ainda está abalado com tudo que aconteceu."
Reporter_Brasil_02_13,37.11,3118639,5229459,1689,1293,396,"Eles conversam muito comigo, porque a gente não consegue, né, e até mesmo por causa da minha deficiência fica mais difícil, né?"
Reporter_Brasil_02_13,48.6,5229252,5229468,22,91,-69,"Fica mais difícil."
Reporter_Brasil_02_13,50,3118749,5229460,1349,2,1347,"Eliane é voluntária no abrigo e também em uma plataforma online gratuita."
Reporter_Brasil_02_13,55.5,5229253,5229469,178,2,176,"A psicóloga tem procurado alternar o atendimento aos próprios pacientes com a assistência aos desalojados."
Reporter_Brasil_02_13,63.8,5229254,5229470,215,3,212,"Para ela, mais do que fazer perguntas, o momento agora é de ouvir."
Reporter_Brasil_02_13,69.08,3118758,5229461,1109,3,1106,"O acolhimento ele é com um aperto de mão, né, uma troca de olhar sincera, né?"
Reporter_Brasil_02_13,76.5,5229255,5229471,351,6,345,"Formar, dentro da possibilidade, um ambiente em que ele traga."
Reporter_Brasil_02_13,82,5229256,5229472,309,1,308,"A pessoa tem que eleger o que é necessário e o que é importante."
Reporter_Brasil_02_13,84.96,3118760,5229462,765,7,758,"Não é o alimentar e dar um local pra dormir."
Reporter_Brasil_02_13,88.2,5229257,5229473,109,4,105,"É acolher, que é muito mais importante."
Reporter_Brasil_02_13,91,5229258,5229474,300,4,296,"Então a gente vê que essas pessoas são gratas."
Reporter_Brasil_02_13,93.3,5229259,5229475,358,6,352,"Porém, agora, o desafio é voltar para casa."
Reporter_Brasil_02_13,97,5229260,5229476,1140,2,1138,"Eles vão voltar pra uma realidade onde eles vão entrar nos lares e eles vão ter que tirar o lodo."
Reporter_Brasil_02_13,102.1,5229261,5229477,251742,4,251738,"Eles vão perder muitos pertences, e pertences que têm um apelo emocional."
Reporter_Brasil_02_13,106.4,5229249,5229465,5,1,4,"Lembra do Adriano do começo da reportagem?"
Reporter_Brasil_02_13,109,3118762,5229463,77,6,71,"Embora as conversas venham surtindo efeito, pensar no futuro ainda causa desconforto."
Reporter_Brasil_02_13,116.3,5229250,5229466,0,5,-5,"Por enquanto ele só quer um radinho para ouvir as músicas que mais gosta."
Reporter_Brasil_02_13,121.44,3118764,5229464,0,3,-3,"Porto Alegre é longe tô pegando um ônibus pra te encontrar."
Reporter_Brasil_02_14,0,3118766,5229524,16,7,9,"A gente têm visto aqui nessa cobertura, que há solidariedade o tempo inteiro, né? A gente fala isso bastante aqui no jornal, essa solidariedade tomou conta de todo o país em relação ao povo aqui do Rio Grande do Sul e muitas doações têm chegado aqui do Brasil inteiro."
Reporter_Brasil_02_14,4.7,5229262,5229541,0,2,-2,"A gente fala isso bastante aqui no jornal."
Reporter_Brasil_02_14,6.8,5229263,5229542,0,2,-2,"Essa solidariedade tomou conta de todo país em relação ao povo aqui do Rio Grande do Sul."
Reporter_Brasil_02_14,11.7,5229264,5229543,0,4,-4,"E muitas doações têm chegado aqui do Brasil inteiro."
Reporter_Brasil_02_14,15.12,3118768,5229525,0,3,-3,"Mas é preciso observar de que forma esse material tá chegando."
Reporter_Brasil_02_14,19.5,5229265,5229544,0,10,-10,"Tem materiais que têm sido doados, né, e não estão em condiçoes de uso."
Reporter_Brasil_02_14,25.1,5229266,5229545,0,1,-1,"Vamos ver na reportagem."
Reporter_Brasil_02_14,27.4,3118770,5229526,1061,32,1029,"Maria Cristina é voluntária da Ação da Cidadania, organização que está recolhendo doações aqui no Rio de Janeiro para levar ao Rio Grande do Sul e lamenta quando encontra coisas em más condições."
Reporter_Brasil_02_14,39.88,3118772,5229527,3248,14,3234,"Nós estamos pedindo, né, pra quem tem roupas rasgada, suja, sapatos nessas condições, roupa nas condições que estão mandando pra não mandarem, porque lá eles não tem água, estão numa situação precária,. Nós vamos mandar isso?"
Reporter_Brasil_02_14,54.76,3118780,5229528,1416,11,1405,"Na hora de doar, é importante pensar no que enviar, e também no trabalho prévio que muita gente tem que fazer na hora da triagem do que está ou não em bom estado."
Reporter_Brasil_02_14,66.88,3118782,5229529,1104,9,1095,"Não tem água pra lavar roupa, não tem fogão pra cozinhar, não tem, então a gente tem que pensar nisso, parar e pensar, se por no lugar do outro pra você ter sensibilidade de falar: ""Não, peraí, ele merece muito mais, né"""
Reporter_Brasil_02_14,83.52,3118784,5229530,139,3,136,"Há uma diferença muito grande entre descartar e doar."
Reporter_Brasil_02_14,88.84,3118786,5229531,396,3,393,"A doação vêm do coração, do cuidado e escolher aquilo que você vai enviar pra quem precisa."
Reporter_Brasil_02_14,96,3118788,5229532,601,7,594,"E olha só, eu vi agora aqui um exemplo de uma pessoa que doou em saquinhos, tudo cheiroso, dobrado, com até a faixa etária das crianças que vão receber."
Reporter_Brasil_02_14,106.84,3118790,5229533,65,3,62,"Não é pra doar o que você ia jogar fora, né?"
Reporter_Brasil_02_14,108.9,5229267,5229546,165,7,158,"Então você tem que dar uma coisa que esteja em ótimo uso."
Reporter_Brasil_02_14,111.7,5229268,5229547,129,3,126,"Não digo nem em bom uso, é ótimo uso, uma roupa que você estaria usando."
Reporter_Brasil_02_14,115.8,3118792,5229534,2212,6,2206,"É através da solidariedade de quem doa, a gente consegue tá levando alimento, produtos de higiene limpeza e outros itens pra poder dar força, pra poder resgatar essas pessoas, pra que elas consigam tá dando continuidade as suas vidas."
Reporter_Brasil_02_14,134.47,3118794,5229535,5,15,-10,"Bom, PortaNova, Iara, a chuva tinha dado uma parada entre o começo do jornal e até agora, mas voltou a chover forte por aqui e PortaNova, você falou lá no começo do jornal da importância das bombas d&#039;água, a prefeitura anunciou que das vinte e três bombas que existem aqui em Porto Alegre, dez estão em funcionamento."
Reporter_Brasil_02_14,152.72,3118796,5229536,0,3,-3,"Hoje eu fico por aqui, amanhã eu volto com outras informações aqui de Porto Alegre. É com vocês aí em Brasília."
Reporter_Brasil_02_14,157.32,3118798,5229537,0,9,-9,"Tá certo, obrigado. É impressionante que a chuva não para, né? Negócio de louco, não para. Não para de chover."
Reporter_Brasil_02_14,159.32,3118804,5229540,0,0,0,"Brigada, Bárbara."
Reporter_Brasil_02_14,160.72,3118800,5229538,0,3,-3,"Não para, afina e engrossa."
Reporter_Brasil_02_14,162.88,3118802,5229539,0,2,-2,"É, mas continua chovendo, o tempo todo."
Reporter_Brasil_03_11,0.1,3126207,5229297,692,4,688,"Um conjunto de ilhas no litoral da zona oeste do Rio de Janeiro ganhou um importante título internacional pela preservação da biodiversidade."
Reporter_Brasil_03_11,8.84,4358907,5229321,613,6,607,"E são agora reconhecidas como pontos de esperança ou ""hope spots""."
Reporter_Brasil_03_11,14.16,3126209,5229298,48,4,44,"Palmas e peças, as Ilhas da praia de Grumari, além das três ilhas Tijucas, todas localizadas na zona oeste do Rio."
Reporter_Brasil_03_11,21.72,4358909,5229322,195,2,193,"Tiveram o estado de preservação certificado pela Maison Blue, uma organização internacional sem fins lucrativos."
Reporter_Brasil_03_11,28.6,3126211,5229299,298,2,296,"Elas se unem às cagarras na Praia de ipanema para possuirem o título de ""hope sports"", pontos de esperança."
Reporter_Brasil_03_11,35,3126213,5229300,309,0,309,"Os pesquisadores do projeto ""Ihas do Rio"" são os principais responsáveis pelo título, comprovando a biodiversidade das ilhas."
Reporter_Brasil_03_11,42.5,3126215,5229301,297,5,292,"Em apenas oito dias a gente conseguiu levantar mais de duzentas espécies."
Reporter_Brasil_03_11,46.2,4358911,5229323,150,6,144,"E o mais interessante de tudo aqui é que a gente está de frente para um verdadeiro berçário de espécies ameaçadas, né."
Reporter_Brasil_03_11,53.1,3299189,5229312,260,19,241,"Então a gente encontra espécies de garopas, espécies de cavalo-marinho que a gente consegue detectar aqui com a maior facilidade."
Reporter_Brasil_03_11,60.2,3126217,5229302,190,5,185,"As Ilhas de Grumari fazem parte da área protegida no Parque Natural Municipal da Prainha e de Grumari."
Reporter_Brasil_03_11,66.1,3299235,5229313,236,8,228,"A região também tem o selo bandeira azul, renovado anualmente e que certifica a qualidade da água."
Reporter_Brasil_03_11,72.04,4358913,5229324,77,4,73,"Mas a preservação das ilhas não está totalmente livre de ameaças."
Reporter_Brasil_03_11,76.2,3126219,5229303,86,2,84,"Nós já fizemos uma ação de limpeza lá na Ilha de Palmas."
Reporter_Brasil_03_11,78.9,3348655,5229314,422,4,418,"Encontramos muitos resíduos plásticos deixados por visitantes e,  também, lixo encontrado pela maré."
Reporter_Brasil_03_11,86.7,3348657,5229315,225,4,221,"E a gente está buscando uma parceria com os próprios pescadores, associação de moradores, poder público, iniciativa privada para que a gente possa unir forças e cada vez mais preservar esse ambiente."
Reporter_Brasil_03_11,97.1,3126221,5229304,327,10,317,"Outra ameaça são as espécies invasoras, entre elas, o ""Coral-Sol"", conhecido como beleza fatal."
Reporter_Brasil_03_11,104.2,3126223,5229305,93,2,91,"O ""Coral-Sol"", que foi encontrado nessas ilhas, é uma espécie nativa dos oceanos Indico e Pacífico."
Reporter_Brasil_03_11,110,3126225,5229306,58,1,57,"Ele chega principalmente por meio de embarcações."
Reporter_Brasil_03_11,113.4,3348659,5229316,857,9,848,"É uma ameaça à biodiversidade local porque onde cresce, cresce por cima de outras espécies, inibe a passagem de luz e dificulta a fotossíntese."
Reporter_Brasil_03_11,123,3126227,5229307,217,3,214,"O ""Coral-Sol"" ainda se reproduz três vezes mais rápido do que as espécies nativas."
Reporter_Brasil_03_11,128.3,3126229,5229308,886,6,880,"Nós identificamos alguns exemplares, né, algumas poucas colônias do Coral-Sol que pode acabar, né, se multiplicando e se estabilizando nessa área causando os efeitos negativos também para a biodiversidade marinha dessa região."
Reporter_Brasil_03_11,143.5,3126231,5229309,73,2,71,"A presença do Coral-Sol na região é monitorada pelo Instituto Mar Adentro e por universidades."
Reporter_Brasil_03_11,149,3126233,5229310,120,3,117,"Para quem cuida do espaço, a educação ambiental é uma das estratégias para preservar."
Reporter_Brasil_03_11,154.1,3126235,5229311,41,4,37,"A gente só preserva aquilo que a gente conhece."
Reporter_Brasil_03_11,156.6,3348661,5229317,146,4,142,"A gente precisa é de mais educação ambiental e de mais informação."
Reporter_Brasil_03_11,160.6,3348664,5229319,101,6,95,"E que as coisas cheguem com mais facilidade à população."
Reporter_Brasil_03_11,163.6,3348666,5229320,137,12,125,"E  que as pessoas entendam que o que é público tem que ser muito mais cuidado até do que é privado, é nosso isso daqui."
Reporter_Brasil_03_12,0.2,3126237,5229380,172,5,167,"Com um potencial de reciclagem muito alto, o vidro é um dos materiais secos menos recuperados no Brasil."
Reporter_Brasil_03_12,6.48,4358915,5229398,463,3,460,"Ficando atrás de outras categorias como papel, plástico e metal."
Reporter_Brasil_03_12,10,3126239,5229381,42,8,34,"Pois é, agora esse cenário pode mudar, já que o país tem uma entidade que vai gerenciar."
Reporter_Brasil_03_12,14.36,4358917,5229399,121,2,119,"Que deve dar mais eficiência a logística reversa e a economia circular do vidro."
Reporter_Brasil_03_12,20.8,3126241,5229382,154,1,153,"Neste condomínio em Brasília, a separação do lixo já é feita há alguns anos, mas o trabalho de conscientização não é fácil."
Reporter_Brasil_03_12,28,3126243,5229383,71,6,65,"Aqui a gente tem um trabalho constante, pelo menos há três anos."
Reporter_Brasil_03_12,30.96,4358919,5229400,305,12,293,"Sempre tendo que avisar aos moradores, passando, olhando, vendo se eles estão fazendo a separação correta do lixo."
Reporter_Brasil_03_12,36.64,4358921,5229401,167,13,154,"E as vezes dá um trabalho mesmo, porque a gente tem que fazer constantes avisos."
Reporter_Brasil_03_12,45.8,3126245,5229384,273,1,272,"Em alguns casos, o destino do lixo são as cooperativas de catadores."
Reporter_Brasil_03_12,50.5,3126247,5229385,33,8,25,"Chega aqui da forma que está aqui."
Reporter_Brasil_03_12,52,3348674,5229394,400,3,397,"Aí entra  para onde as empilhadeiras estão levando, dali sobe e começa a triagem."
Reporter_Brasil_03_12,57.9,3348678,5229395,179,1,178,"Aí, na esteira, cada material vai para um ""bag"" diferente."
Reporter_Brasil_03_12,62.2,3126251,5229386,168,1,167,"A gente separa papéis, vidros, metais e plásticos."
Reporter_Brasil_03_12,66,3348680,5229396,88,2,86,"No total, dá uns noventa tipos diferentes."
Reporter_Brasil_03_12,68.2,3126253,5229387,173,5,168,"Vai mandar para a indústria, a indústria vai processar e vai fazer a embalagem."
Reporter_Brasil_03_12,72.28,4358923,5229402,159,9,150,"Inclusive, o vidro é um dos produtos que é infinitamente reciclável e uma tonelada de vidro dá uma tonelada de embalagem nova."
Reporter_Brasil_03_12,78.53,4358925,5229403,212,2,210,"Não se perde no processo."
Reporter_Brasil_03_12,82.64,3126255,5229388,72,1,71,"Em 2022, o país instituiu o sistema de logística reversa de embalagens de vidro."
Reporter_Brasil_03_12,88.36,3126257,5229389,148,6,142,"A gente tem hoje, especificamente para o vidro, uma meta que segue o PLANARIS (Plano Nacional de Resíduos Sólidos)."
Reporter_Brasil_03_12,95.3,3348682,5229397,17,9,8,"Então a gente tem hoje, o número que a gente estima é de um pouco mais de vinte e cinco por cento de reciclagem do vidro."
Reporter_Brasil_03_12,104.28,4358927,5229404,6,4,2,"E a nossa meta é que a gente chegue em quarenta por cento até dois mil e trinta e dois."
Reporter_Brasil_03_12,110.2,3126259,5229390,0,7,-7,"A Política Nacional de Resíduos Sólidos de dois mil e dez apontou diretrizes para a melhoria da gestão do lixo:"
Reporter_Brasil_03_12,116.32,4358929,5229405,0,8,-8,"Ela preveu o encerramento dos lixões e o reaproveitamento de cerca de cinquenta por cento dos materiais em vinte anos."
Reporter_Brasil_03_12,123.8,3126261,5229391,0,8,-8,"Uma das formas é a reciclagem, mas hoje apenas cerca de dois por cento dos resíduos das cidades passam por isso."
Reporter_Brasil_03_12,130.8,3126263,5229392,0,2,-2,"Medidas regulatórias, elas tendem a incentivar a reciclagem, né."
Reporter_Brasil_03_12,135.4,3126265,5229393,0,13,-13,"Aqui, nós salvamos o mundo porque a gente cuida de pessoas, a gente cuida da saúde das pessoas,  cuida da saúde do meio ambiente."
Reporter_Brasil_03_12,144.33,4358931,5229406,0,0,0,"E ainda inclui pessoas no processo."
Reporter_Brasil_04_01,0.3,3112121,5229624,4,522,-518,"A gente começa o Repórter Brasil falando sobre os dois anos dos assassinatos do indigenista brasileiro Bruno Pereira e do Jornalista Britânico Don Phillips."
Reporter_Brasil_04_01,11.6,3112123,5229625,0,212,-212,"Eles morreram lutando pela proteção dos povos indígenas que vivem no Vale do Javari, no Amazonas."
Reporter_Brasil_04_01,18.7,3112125,5229626,0,76,-76,"Nós preparamos reportagens especiais que relembram o caso."
Reporter_Brasil_04_01,21.96,4358978,5229658,0,543,-543,"Contam como estão as investigações e dão uma ideia de como estão os defensores dos indígenas que vivem lá na região."
Reporter_Brasil_04_01,29.4,3112127,5229627,0,72,-72,"Hoje o dia foi de homenagens em Brasília."
Reporter_Brasil_04_01,31.7,3112129,5229628,0,225,-225,"Quem acompanhou  e vai trazer os detalhes para a gente agora é a Manuela Castro."
Reporter_Brasil_04_01,35.9,3112131,5229629,0,37,-37,"Manuela, muito boa noite para você."
Reporter_Brasil_04_01,42.28,3112133,5229630,0,119,-119,"Olá, uma ótima noite para você, Porta Nova, para a Iara e para todos que acompanham o Repórter Brasil."
Reporter_Brasil_04_01,48.76,3112135,5229631,0,104,-104,"Eu estou aqui no memorial dos povos indígenas, que fica no centro de Brasília."
Reporter_Brasil_04_01,53.4,4358980,5229659,0,297,-297,"E onde daqui a pouco, está marcado para às sete e meia da noite, vai começar um ato em homenagem aos dois anos de morte de Don Phillips e Bruno Pereira."
Reporter_Brasil_04_01,64,3112137,5229632,282460,175,282285,"Como a gente pode observar, as pessoas já estão aqui trabalhando na organização do evento."
Reporter_Brasil_04_01,67.96,4358982,5229660,165,29,136,"Já tem alguns convidados que já chegaram também."
Reporter_Brasil_04_01,70.68,3112139,5229633,101,13,88,"E, além da homenagem."
Reporter_Brasil_04_01,72.4,4358985,5229662,33873,151,33722,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
Reporter_Brasil_04_01,78.8,3112141,5229634,1978,140,1838,"Também haverá um balanço das ações do governo na terra indígena Vale do Javari."
Reporter_Brasil_04_01,84.21,4358987,5229663,2135,32,2103,"Que fica na região onde aconteceram os assassinatos."
Reporter_Brasil_04_01,87.1,3112143,5229635,1613,339,1274,"Hoje a tarde houve uma roda de conversas e também a exibição de um documentário sobre a morte de Don Phillips e Bruno Pereira."
Reporter_Brasil_04_01,94.24,4358989,5229664,217,7,210,"E também, sobre o que está acontecendo no Vale do Javari."
Reporter_Brasil_04_01,97.32,3112145,5229636,3390,123,3267,"E, agora a noite, começou a projeção das imagens de Don e Bruno na esplanada dos ministérios."
Reporter_Brasil_04_01,105.16,3112147,5229637,815,106,709,"Vamos ver agora uma reportagem que mostra a situação do Vale no Javari."
Reporter_Brasil_04_01,109.96,4358991,5229665,1179,469,710,"Que é a segunda maior terra indígena do Brasil e concentra o maior número de terras indígenas isoladas do mundo."
Reporter_Brasil_04_01,118.36,3112149,5229638,538,18,520,"Vamos ver agora."
Reporter_Brasil_04_01,120.12,3112151,5229639,228,193,35,"O Vale do Javari é uma imensidão de oito milhões de hectares."
Reporter_Brasil_04_01,124.6,4358993,5229666,52,27,25,"Tamanho equivalente a muitos países, como Áustria e Emirados Árabes."
Reporter_Brasil_04_01,128.6,3112153,5229640,0,39,-39,"Fica na fronteira entre Brasil, Peru e Colômbia."
Reporter_Brasil_04_01,131.96,3112155,5229641,0,122,-122,"Os povos que vivem ali reclamam da insegurança e da falta de agentes públicos."
Reporter_Brasil_04_01,136.6,3112157,5229642,0,10,-10,"Permanente aqui, nessa região, não tem não, mas para fazer um trabalho esporádico, vai lá fazer uma operação rápida e volta."
Reporter_Brasil_04_01,144.83,4358996,5229668,0,1,-1,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
Reporter_Brasil_04_01,154.84,3112159,5229643,0,1,-1,"Agora, permanente, efetivamente, nessa região não tem como não."
Reporter_Brasil_04_01,159.6,3112161,5229644,0,8,-8,"De acordo com a união dos povos indígenas do Vale do Javari, na época dos assassinatos de Bruno e Don em dois mil e vinte e dois, onze pessoas eram ameaçadas de morte na região."
Reporter_Brasil_04_01,169.48,3112163,5229645,0,3,-3,"A gente fica o tempo todo extremamente preocupado sobre o risco de um caso parecido voltar a se repetir."
Reporter_Brasil_04_01,175.32,4358998,5229669,0,1,-1,"Porque tem pessoas muito engajadas na luta pelo Vale do Javari, que seguem sofrendo ameaças."
Reporter_Brasil_04_01,182.1,3112165,5229646,0,5,-5,"Então, acho que esse é um ponto muito sério, que teve um pequeno avanço de colocá-los no programa."
Reporter_Brasil_04_01,186.44,4359000,5229670,0,1,-1,"Mas que o programa ainda não ofereceu medidas concretas de proteção como essas pessoas precisam."
Reporter_Brasil_04_01,192.6,3112167,5229647,0,2,-2,"O Governo lançou um plano de proteção do Vale do Javari."
Reporter_Brasil_04_01,195.9,3348733,5229656,1894,4,1890,"Entre as ações está o programa para proteger os defensores dos Direitos Humanos."
Reporter_Brasil_04_01,200.64,4359002,5229671,993,1,992,"Que tem uma equipe de oito profissionais de diversas áreas."
Reporter_Brasil_04_01,204.04,3112171,5229648,2821,4,2817,"Hoje nós já contamos naquele território com uma estrutura que garante a rápida comunicação com Brasília, a rápida comunicação com a equipe técnica federal."
Reporter_Brasil_04_01,214.44,4359004,5229672,423,0,423,"Dessas equipes que estão lá e, também, com outros órgãos de Governo."
Reporter_Brasil_04_01,218.5,3348735,5229657,3516,2,3514,"Então, com a FUNAI, com os povos indígenas,  com a própria Polícia Federal."
Reporter_Brasil_04_01,222.36,4359006,5229673,1406,4,1402,"Essa equipe, ela está habilitada a fazer esses diálogos buscando a garantia da proteção das lideranças."
Reporter_Brasil_04_01,228.2,3112173,5229649,1507,2,1505,"A viúva de Bruno Pereira não espera apenas justiça, mas também quer segurança para as comunidades amazônicas."
Reporter_Brasil_04_01,234.8,3112175,5229650,1034,1,1033,"Para além da punição dos executores, a gente espera que seja feito realmente um trabalho de desmantelamento daquela cadeia criminosa."
Reporter_Brasil_04_01,243.5,4359008,5229674,193,0,193,"Que se não for tratado isso, vai vitimar outras pessoas, né?"
Reporter_Brasil_04_01,248.68,3112177,5229651,15,0,15,"E, sobretudo, as lideranças indígenas."
Reporter_Brasil_04_01,251.2,3112179,5229652,270,2,268,"Segundo a Polícia Federal, há um plano de segurança para a região."
Reporter_Brasil_04_01,255.44,3112181,5229653,640,3,637,"Já no início do ano passado, nós deslocamos uma base fluvial, que é a base Nova Era, para a região do Vale do Javari."
Reporter_Brasil_04_01,265.84,4359010,5229675,24,1,23,"Implementamos novas ações, ações essas, inclusive, integradas com outros órgãos."
Reporter_Brasil_04_01,272.1,3112183,5229654,818,2,816,"A gente espera que melhore as ações do Governo, sobretudo a proteção territorial, a segurança, saúde, educação."
Reporter_Brasil_04_01,287.7,3112185,5229655,387,1,386,"Esses três, quatro temas principais que a gente espera que o Governo faça suas responsabilidades e ações, né?"
Reporter_Brasil_04_03,0.1,3350609,5229763,1661,1,1660,"Cheias, secas, tragédias climáticas que se espalham pelo mundo."
Reporter_Brasil_04_03,3.8,3350611,5229764,2708,2,2706,"Para frear a degradação de nossa terra, as Nações Unidas criaram o dia mundial do Meio Ambiente, que celebra hoje, cinco de junho."
Reporter_Brasil_04_03,11.1,3350613,5229765,0,1,-1,"Lideranças mundiais em diferentes campos estão reunidas nessa semana toda para encontrar soluções para a restauração do planeta."
Reporter_Brasil_04_03,19.3,3350617,5229766,0,4,-4,"Todos os anos, autoridades dos Estados e entidades das sociedades civis, reúnem-se para discutir as emergências ligadas as mudanças climáticas."
Reporter_Brasil_04_03,27.8,3350619,5229767,0,1,-1,"Em dois mil e vinte e quatro, a reunião acontece na Arábia Saudita."
Reporter_Brasil_04_03,31.16,4359059,5229797,0,0,0,"E o foco é o problema da desertificação, a restauração de terras e a resiliência à seca."
Reporter_Brasil_04_03,36.8,3350625,5229768,0,3,-3,"Mas os efeitos das mudanças climáticas estão em toda a parte."
Reporter_Brasil_04_03,40.2,3350629,5229769,0,5,-5,"No sul do Brasil, a enchente afetou quase noventa e cinco por cento do Rio Grande do Sul."
Reporter_Brasil_04_03,44.88,4359043,5229789,0,1,-1,"De acordo com o relatório da Defesa Civil gaúcha."
Reporter_Brasil_04_03,47.6,3350631,5229770,0,2,-2,"Ao todo,  quatrocentos e setenta e seis municípios foram atingidos."
